COMPANY_NAME,PT_SEAFOOD_DATABASE_ID,COUNTRY_HQ,MAIN_SEGMENT,SEG_FEED,SEG_FISHING,SEG_AQUACULTURE,SEG_PROCESSING,SEG_WHOLESALE,SEG_RETAIL,SEG_FOODSERVICE,DESCRIPTION,WEBSITE,REVENUE_USD_MN,MARKET_CAP_USD_MN,EBIT_MARGIN,RETURN_ON_EQUITY,ENTERPRISE_VALUE_USD_MN,NET_DEBT_EBITDA,SUSTAINABILITY_ASSESSMENT_CAT1_TRANSPARENCY_SCORE,SUSTAINABILITY_ASSESSMENT_CAT2_OCEAN_HEALTH_SCORE,SUSTAINABILITY_ASSESSMENT_CAT3_MANAGEMENT_GOVERNANCE_SCORE,SUSTAINABILITY_ASSESSMENT_CAT4_FISHING_PRACTICES_SCORE,SUSTAINABILITY_ASSESSMENT_CAT5_COMPLIANCE_ENFORCEMENT_SCORE,SUSTAINABILITY_ASSESSMENT_CAT6_STOCK_SUSTAINABILITY_SCORE,REPORTING_PRECISION,N_DISTINCT_COUNTRIES,N_DISTINCT_SPECIES,SPECIES_CLEAN,REGIONS
GOSHOKU CO LTD,ID_78,Japan,Processing,No,No,No,Yes,Yes,No,No,"Goshoku is a manufacturer of processed food and a wholesaler/trader of seafood, agricultural, and livestock products.",http://www.goshoku.co.jp,,,,,,,1,1,1,1,1,1,0.1891723421,4,20,"Conger Eel, Ebi Shrimp, Fish, Flyingfish Egg, Herring Roe, Jellyfish, Masu Trout, Octopus, Prawn, Salmon, Salmon Egg, Scallop, Shellfish, Shrimp, Squid, Tsunonashi Okiami Krill, Tuna, Unagi Eel, Wakame","China, Japan, Southeast Asia, Worldwide"
GREENLAND SEAFOOD EUROPE GMBH,ID_79,Germany,Processing,No,No,No,Yes,Yes,No,No,"Greenland Seafood, a subsidiary of Sofina Foods Inc., specializes in fish processing services, offering a range of products including fish snacks, natural filets, prepared fish with toppings and sauces, and prawns for individual and corporate customers.",http://www.royalgreenland.com,,,,,,,1,1,2,1,2,2,0.4355326514,9,14,"Alaska Pollock, Chionoecetes Opilio, Cod, Cyclopterus Lumpus, Gadus Morhua, Haddock, Hake, Pandalus Borealis, Prawn, Reinhardtius Hippoglossoides, Saithe, Salmon","China, Japan, Taiwan, Usa, East Greenland, Barents Sea, Europe, Asia, North America, Europe, North America, Asia, Greenland, Greenland, Canada, Greenland, Canada, Europe, North Atlantic Ocean, North Atlantic Ocean, Arctic Ocean"
GRIEG SEAFOOD ASA,ID_80,Norway,Integrated,No,No,Yes,Yes,Yes,No,No,"Grieg Seafood ASA is an integrated Norwegian company specializing in the farming, processing, and sale of salmon.",http://www.griegseafood.no,686.333407565,244.751122069,-1.300688543,-44.966017873,1192.051036082,11.226668569,3,3,3,0,3,3,0.1507547678,4,2,"Salmon, Trout","British Columbia, Finnmark, Newfoundland, Rogaland"
GRUPO BUITRAGO,ID_282,Ecuador,Fishing,No,Yes,No,No,No,No,No,"Grupo Buitrago is an Ecuadorian tuna fishing group based in Manta that focuses on the extraction and commercialization of tuna, selling its catches to major regional canning and processing companies rather than processing fish itself",https://grupobuitrago.com.ec/,,,,,,,1,1,2,1,2,1,0.8711650246,4,3,"Katsuwonus Pelamis, Thunnus Albacares, Thunnus Obesus","Colombia (Pacific Ocean), Ecuador (Pacific Ocean), International Waters (Eastern Pacific Ocean), Peru (Pacific Ocean)"
GRUPO CIMERA,ID_283,Ecuador,Integrated,No,Yes,No,Yes,Yes,No,No,"Spanish seafood company Grupo Cimera is active in processing and marketing canned fish and seafood, particularly tuna products.",https://www.grupocimeraec.com/,,,,,,,1,2,3,2,2,3,1,1,2,"Katsuwonus Pelamis, Thunnus Obesus",Eastern Pacific Ocean (Ecuadorian National And International Waters)
GRUPO PEZATUN,ID_284,Panama,Fishing,No,Yes,No,No,No,No,No,"Grupo Pezatun is a Latin American tuna group operating purse‑seine vessels that supply raw tuna to canners and buyers across Panama, Venezuela, Colombia, Costa Rica, Ecuador and other countries",pezatun.com,,,,,,,1,1,1,1,1,2,0.6421414694,3,2,"Katsuwonus Pelamis, Thunnus Albacares","Caribbean Sea, Pacific Ocean, Venezuela, Panama, Colombia, Costa Rica, Ecuador"
GRUPO PINSA,ID_81,Mexico,Processing,No,Yes,No,Yes,Yes,Yes,No,"Grupo PINSA is a vertically integrated company, operating through subsidiaries like Pesca Azteca, PINSA, and PINSA Congelados, with a primary focus on fishing, producing, and selling Tuna and Sardine under brands such as Dolores, Mazatún, and El Dorado for the Mexican and US markets.",https://www.grupopinsa.mx,,,,,,,1,1,2,1,1,2,0.4982244474,4,5,"Clupeidae, Katsuwonus Pelamis, Thunnus Albacares, Tuna","Eastern Pacific Ocean, Mexico, Pacific Ocean, Usa, Chile, Colombia, Europe, Asia"
GRUPO PROFAND SL,ID_82,Spain,Integrated,No,Yes,No,Yes,Yes,Yes,No,"The company is vertically integrated, with primary activities spanning fishing, aquaculture, processing, wholesale distribution, and direct retail sales to supermarkets, hypermarkets, and food chains.",http://https://www.profand.com/,,,,3.904,,,2,2,3,1,2,2,0.7286037837,3,19,"Cephalopod, Dicentrarchus Labrax, Loligo, Octopodidae, Octopus, Octopus Vulgaris, Oncorhynchus Mykiss, Penaeidae, Salmo Salar, Sardina Pilchardus, Sepia, Shrimp, Sparus Aurata, Squid","Galicia, Spain, Spain, Zaragoza, Spain"
GRUPOMAR,ID_285,Mexico,Integrated,Yes,Yes,No,Yes,Yes,Yes,No,"Grupomar (Grupo Marítimo Industrial S.A. de C.V.) is a vertically integrated Mexican tuna group that owns yellowfin fleets and a large canning and freezing complex in Manzanillo, Colima, supplying brands like Tuny, Ancla, Capitán Nemo and Martuna. ",www.grupomar.com,,,,,,,1,2,3,2,2,3,0.7569126436,4,1,Thunnus Albacares,"Atlantic Ocean (Historical, Formerly Based In Dakar, Senegal), Eastern Pacific Ocean (From Mexico To Ecuador, West To Hawaii), Manzanillo, Colima, Mexico, Mexico, Central America"
GST GROUP,ID_83,Malaysia,Integrated,No,No,Yes,Yes,Yes,Yes,Yes,GST Group is a Malaysian seafood company engaged in global operations.,https://www.gstgroup.com.my/,,,,,,,2,2,2,0,1,2,0.5857016393,5,39,"Abalone, Barramundi, Bawal Emas, Catfish, Cichlidae, Cobia, Cod, Crab, Garoupa, Golden Pompano, Grouper, Halibut, Kembong, Lates Calcarifer, Lobster, Lutjanus, Mussel, Octopodidae, Octopus, Oyster, Penaeus Monodon, Pomfret, Prawn, Red Snapper, Salmon, Sardin, Scallop, Sea Cucumber, Seabass, Squid, Tilapia, Tongkol, Travelly, Tuna, Unagi, White Silver Fish","Kuala Lumpur, Malaysia, Penang, Pulau Langkawi, Pulau Pangkor"
GUANGDONG HAID GROUP CO LTD,ID_84,China,Feed,Yes,No,Yes,Yes,Yes,Yes,No,"Guangdong Haid Group Co., Ltd. is a diversified Chinese company involved in feeds, seedlings, animal protection vaccines, smart breeding, and food processing for species including aquatic animals, pigs, ducks, and chickens.",https://www.haid.com.cn,15901.705739781,11315.644031204,5.122594978,20.683105898,11843.900734711,0.2703211783,2,1,1,0,1,1,0.7495099881,6,18,"Channa Argus, Cichlidae, Crab, Crayfish, Crucian Carp, Grouper, Macrobrachium Rosenbergii, Mandarin Fish, Micropterus Salmoides, Oreochromis Niloticus, Prawn, Shrimp, Siniperca Chuatsi, Snakehead, Tilapia, Trachinotus Ovatus, Yellow Catfish","China, China (Guangxi), China (Zhanjiang, Hainan, Zhangzhou, Nantong, Shanwei, Dongying, Tangshan), China (Zhaoging), Indonesia, Vietnam"
GUANGDONG HAVWII AQUACULTURE CO LTD,ID_85,China,Aquaculture,No,No,Yes,Yes,Yes,Yes,No,"Guangdong Havwii Aquaculture Co., Ltd. is a Chinese company focused on the aquaculture industry.",http://www.havwii.com,,,,,,,1,1,2,0,1,1,0.8075033746,1,20,"Anchovy, Catfish, Cobia, Dory, Epinephelus Lanceolatus, Gold Pomfret, Golden Pomfret, Golden Tiger Grouper, Linear Seahorse, Penaeus Monodon, Rachycentron Canadum, Scallops, Shellfish, Shrimp, Spanish Mackerel, Trachinotus Ovatus, Vannamei Shrimp, Yellow Croaker",China
GUANGDONG YUEHAI FEEDS GROUP,ID_86,China,Feed,Yes,No,Yes,Yes,Yes,Yes,No,"Guangdong YueHai Feeds Group is a Chinese company specializing in the production and provision of feed products and services, supported by an extensive network of subsidiaries in China and international operations.",http://en.yuehaifeed.com,819.694143126,,-2.13705455,-3.218372235,867.678129252,-12.6359185,1,1,1,0,1,1,0.6744640094,3,20,"Cichlidae, Crab, Crayfish, Epinephelus, Fish, Forktail Catfish, Golden Pomfret, Grouper, Lateolabrax Japonicus, Macrobrachium Rosenbergii, Micropterus Salmoides, Penaeus Monodon, Shrimp, Tilapia, Trachinotus Ovatus, Yellow Catfish, Yellow Croaker","China, Vietnam, Zhanjiang, Guangdong, China"
H&N GROUP,ID_87,United States of America,Wholesale/Distribution,No,Yes,Yes,Yes,Yes,Yes,Yes,"H&N is an independent, family-owned company specializing in the global farming, processing, and distribution of aquaculture products, primarily shrimp and fish.",https://www.hngroup.com,,,9.88467,0.462971,,0.3087868817,2,1,2,1,2,1,0.7117644624,7,20,"Alaska Cod, Alaskan Cod, Black Tiger Shrimp, Catfish, Cichlidae, Fresh Wild Rockfish, Halibut, Ictalurus Punctatus, New Zealand Greenshell Mussels, Pangasianodon Hypophthalmus, Penaeus Setiferus, Perch, Perna Canaliculus, Salmon, Shrimp, Sole, Swai/Pangasius, Tilapia, White Shrimp","Canada, Ecuador, New Zealand, Us, Usa, Usa (Alaska), Vietnam"
HAGOROMO FOODS,ID_88,Japan,Processing,Yes,No,No,Yes,Yes,Yes,Yes,"Hagoromo Foods Group manufactures and sells a diverse portfolio of food products, notably canned and pouched tuna (Sea Chicken brand), sweet corn (Shakitto-Corn brand), pasta, sauces, traditional Japanese ingredients (dried bonito flakes, laver, rice seasonings), and pet foods.",https://corp.hagoromofoods.co.jp,485.587685127,43.504779813,2.496320931,4.777500369,224.294968205,0.8971840016,1,2,2,2,1,2,0.379808636,5,6,"Bonito, Cod, Katsuwonus Pelamis, Red Sea Bream, Thunnus Albacares, Tuna","Indian Ocean, Indonesia, Japan, Mid-Western Pacific Ocean, Western And Central Pacific Ocean"
HAINAN ZHONGZHENG AQUATIC SCIENCE AND TECHNOLOGY CO LTD,ID_89,China,Aquaculture,No,No,Yes,Yes,Yes,Yes,No,"Hainan Zhongzheng Aquatic Science and Technology Co., Ltd. is a Hainan-based aquaculture company involved in local and international sales.",http://www.hnzzsckj.com,,,,,,,1,1,2,0,1,1,0.05116639522,1,1,Shrimp,"Hainan Province, China"
HAIYANG HUANGHAI FISHERIES CO LTD,ID_90,China,Aquaculture,No,No,Yes,Yes,No,Yes,Yes,"Haiyang Huanghai Fisheries Co., Ltd. is a China-based company specializing in the aquaculture, processing, and sales of marine products, distinguished by its stable, long-term cooperation with various companies.",http://huanghai.chinaaquatic.cn,,,,,,,2,1,2,0,1,1,0.7179217924,1,10,"Car Shrimp, Cynoglossus Semilaevis, Flat Scorpionfish, Flounder, Grouper, Paralichthys Olivaceus, Scophthalmus Maximus, Tongue Sole, Turbot, Yellow-Striped Amberjack","Haiyang, Shandong, China"
HAMADA GYOGYOUBU COLTD,ID_91,Japan,Fishing,No,Yes,No,No,Yes,Yes,No,"Hamada Fisheries Club, founded in 1916, transitioned to extensive deep-sea tuna longline fishing operations in 1978 and currently operates three deep-sea tuna longline vessels.",http://www.hamada-gyogyoubu.co.jp,,,,,,,1,1,1,1,1,1,0.02104756518,1,1,Pelagic Tuna,Distant Seas/International Waters
HAMADA SUISAN,ID_92,Japan,Fishing,No,Yes,No,Yes,No,Yes,No,Hamada Suisan specializes in the fishing and processing of dried baby sardines.,https://www.hamadasuisan.com,,,,,,,2,1,1,1,1,1,0.8819170407,3,2,"Carcharhinus Longimanus, Sardines","Japan, Japan (Miyazaki), Pacific Ocean (Southern)"
HAMAKO SUISAN,ID_93,Japan,Fishing,No,Yes,No,Yes,Yes,Yes,No,Hamako Suisan is a seafood company that supplies fresh and frozen seafood products to both domestic and international customers.,http://hamakou-suisan.co.jp,,,,,,,1,2,1,1,2,1,0.8369656184,14,4,"Cololabis Saira, Thunnus Obesus, Thunnus Thynnus, Tuna","Atlantic Ocean (Specifically Off Ireland), Atlantic Ocean, Pacific Ocean, Indian Ocean, Cape Town, Honolulu, Japan, Java Island, Mediterranean Island Malta, Northern Ireland, Noumea, Pacific Ocean (Likely Off The Coast Of Japan), Panama, Port Louis, Reykiavik, Singapore"
HANSUNG ENTERPRISE CO LTD,ID_94,Republic of Korea,Processing,No,Yes,No,Yes,Yes,Yes,No,"Hansung Enterprise Co., Ltd. is a South Korea-based manufacturer and seller of seafood products, as well as meat products derived from pigs and chicken.",http://www.hsep.com,243.87026967,10.501951895,2.109659968,4.762344286,93.128066008,10.340615247,1,2,2,1,1,2,0.6048320744,4,17,"Albacore Tuna, Anchovy, Bigeye Tuna, Cod, Flounder, Gadus Chalcogrammus, Green Marlin, Mackerel, Octopodidae, Octopus, Pollack, Shrimp, Skipjack Tuna, Squid, Swordfish, Yellowfin Tuna","Argentina, North Pacific Ocean (Bering Sea), Russia, South Korea"
HE SHI SHUI CHAN,ID_95,China,Processing,No,No,Yes,Yes,Yes,Yes,Yes,"He Shi Shui Chan is a China-based company with integrated operations across aquaculture, processing, retail, wholesale, and food service sectors. Its domestic sales network extends across over 50 cities in 25 provinces.",http://www.gdhssc.com.cn,,,,,,,1,1,1,0,1,1,0.7081221646,1,10,"Bullhead Fish, Catfish, Cichlidae, Macrobrachium Rosenbergii, Mandarin Fish, Red Tilapia, Sea Bass, Tilapia",China
HIGASHIMARU INTERNATIONAL CORP,ID_96,Japan,Processing,No,No,No,Yes,Yes,Yes,Yes,"The company manufactures and trades seafood products, including shrimp, squid, mackerel, sole, and shellfish, across its processing, wholesale/distribution, retail, and foodservice operations.",https://www.hic-jp.co.jp,,,,,,,2,1,1,1,1,1,0.5786750671,17,6,"Mackeral, Shellfish, Shrimp, Sole, Squid","China, Denmark, Ecuador, India, Indonesia, Mexico, Myanmar, Norway, Osaka, Pakistan, Peru, Scotland, Thailand, Tokyo, United Kingdom, Us, Vietnam"
HIGH LINER FOODS INCORPORATED,ID_97,Canada,Processing,No,No,No,Yes,No,No,No,High Liner Foods Incorporated specializes in processing and marketing prepared and packaged frozen seafood products.,http://www.highlinerfoods.com,700.178758221,188.228993201,7.668851614,15.282384388,492.250236615,2.10619871,3,2,3,2,2,3,0.884863933,6,50,"Acadian Redfish, Alaska Pollock, American Lobster, American Plaice, American Sea Scallop, Atlantic Cod, Atlantic Rock Crab, Atlantic Salmon, Atlantic Seabob, Atlantic Surf Clam, Basa, Blue Grenadier, Cape Hakes, Catfish, Cichlidae, Coho Salmon, Dover Sole, European Perch, Flathead Sole, Giant Tiger Prawn, Great Tiger Prawn, Haddock, Jumbo Flying Squid, Lyrate Hard Clam, Mussel, North Pacific Hake, Northern Prawn, Northern Rock Sole, Pacific Cod, Pacific Halibut, Pacific Ocean Perch, Pacific Salmon, Pangasius, Pangasius (Basa), Picked Dogfish, Pink Salmon, Rainbow Trout, Saithe, Salmon, Scallop, Shellfish, Sockeye Salmon, South Pacific Hake, Southern Blue Whiting, Tilapia, Warmwater Shrimp, Yellowfin Sole, Yellowtail Flounder","Atlantic Ocean (Canada), Canada, New Zealand, Pacific Ocean, Pacific Ocean (Alaska, Usa), United States"
HILTON FOODS,ID_98,United Kingdom,Processing,No,No,No,Yes,Yes,Yes,No,"Hilton Foods is a food supplier specializing in a diverse range of prepared and raw meals, including seafood, lamb, pork, poultry, and vegan options, distributed across Europe and the Asia-Pacific (APAC) region.",https://www.hiltonfoods.com,5096.298839823,876.911212141,2.472231201,12.883513813,1464.4839208,1.867250174,3,2,3,2,2,3,0.5236289386,7,7,"Gadus Chalcogrammus, Prawn, Salmo Salar, Salmon, Shellfish, White Fish","Denmark, East Bering Sea, Usa, Greece, Netherlands, New Zealand, Norway/Scotland - Farmed (Implied), United Kingdom"
HUANGHAI SHIPBUILDING CO LTD,ID_99,China,Fishing Vessels,No,No,No,No,No,No,No,"Huanghai Shipbuilding Co. Ltd. is a shipbuilding company specializing in the construction of a diverse range of vessels, including passenger ships, container ships, multipurpose heavy lift ships, marine patrol ships, and deep sea fishing ships.",http://www.huanghaiship.com,,,,,,,1,2,1,0,1,0,,0,0,,
HUBEI FISHERIES GROUP CO LTD,ID_100,China,Fishing,No,Yes,No,Yes,No,Yes,Yes,"Hubei Fisheries Group Co., Ltd. is a China-based company focused on the fisheries sector, with business segments encompassing large-scale water surface fishery enhancement, aquatic seed cultivation, processing of aquatic products, trade of aquatic products, and facility-based fishery operations.",http://www.hbshuichan.cn,,,,,,,1,0,1,0,0,1,0.7079948211,6,6,"Crabs, Megalobrama Amblycephala, Monopterus Albus, Procambarus Clarkii, Shellfish","Danjiangkou Reservoir, Hubei Province, China, Ezhou, Hubei Province, China, Liangzi Lake, Hubei Province, China, Qianjiang, Hubei Province, China, Wenxia Reservoir, Hubei Province, China, Xiantao, Hubei Province, China"
HUNG VUONG,ID_101,Viet Nam,Processing,Yes,No,Yes,Yes,Yes,No,Yes,"Hunh Vuong is a Vietnamese company established in 2003, focused on aquaculture (pangasius), processing, and exporting aquatic products. The company is vertically integrated, also manufacturing feed for aquaculture and livestock, and involved in cold storage trading, with exports reaching 80 countries globally.",https://www.hungvuongpanga.com,,,,,,,1,1,1,0,1,1,0.6153685887,2,4,"Pangasius, Pangasius Hypophthalmus, Shrimp","80 Countries Including Europe, Brazil, Mexico, Australia, The Usa, Middle East And Asian Countries, Vietnam"
IBÉRICA DE CONGELADOS SA,ID_102,Spain,Integrated,No,Yes,No,Yes,Yes,No,No,"Iberica de Congelados SA is a seafood company specializing in the wholesale distribution of fresh, cured, and frozen fish.",http://www.iberconsa.es,,,,-1.748,,,1,2,2,1,2,2,0.7122963899,4,34,"Argentinean Hake, Argentinean Red Shrimp, Argentinean Redfish, Argentinean Shrimp, Austral Hake, Blue Shark, Cape Hake, Cod, Crab, Greenland Halibut, Grenadier, Hake, Illex Argentinus, Jumbo Shrimp, Kingklip, Lobster, Lophius Vomerinus, Merluccius Capensis, Merluccius Hubbsi, Monkfish, Mussel, Namibian Hake, Notothenia, Pleoticus Muelleri, Red Hake, Redfish, Salmon, Savorin, Southern Blue Whiting, Squid, Swordfish, Veneridae, White Clam","Argentina, Namibia, South Africa, Vietnam"
ICE FRESH SEAFOOD EHF,ID_104,Iceland,Integrated,No,Yes,Yes,Yes,Yes,No,No,"ICE Fresh Seafood is a vertically integrated company involved in the fishing, aquaculture, processing, and distribution of seafood products.",http://www.samherji.is,,,,,,-2.579415759,1,1,1,1,1,2,0.7879128472,4,21,"Arctic Char, Blue Whiting, Capelin, Clupea Harengus, Cod, Gadus Morhua, Greenland Halibut, Haddock, Herring, Mackerel, Mallotus Villosus, Melanogrammus Aeglefinus, Pollachius Virens, Redfish, Saithe, Salmo Salar, Salmon, Salvelinus Alpinus, Scomber Scombrus","Iceland, Iceland (Specifically Reykjanes Peninsula, Núpar, Öxnalækur, Staður), Iceland (Specifically Reykjanes Peninsula, Öxarfjörður, Núpar, Núpsmýri), United Kingdom, France, Spain, United States"
ICELAND SEAFOOD INTERNATIONAL HF,ID_105,Iceland,Processing,No,No,No,Yes,Yes,No,No,"Iceland Seafood is a global group focused on the sales, processing, and marketing of diverse seafood products, including fresh, frozen, salted, dried, and value-added varieties.",http://www.icelandseafood.is,479.427925061,54.576585256,3.297538915,3.717990347,225.829734211,5.480546776,2,1,2,1,2,2,0.6523331038,4,23,"Blue Whiting, Capelin, Cod, Gadus Morhua, Haddock, Halibut Plaice, Herring, Langoustine, Lumpfish, Mackerel, Monkfish, Norway Lobster, Octopodidae, Octopus, Perch, Pleoticus Muelleri, Redfish, Saithe, Salmo Salar, Salmon, Sea Urchin, Snow Crab, Wolffish","Argentina, Iceland, Ireland, Spain"
ICELANDIC GROUP,ID_106,Iceland,Processing,No,No,No,Yes,Yes,No,No,"Icelandic Group is a global provider of fresh, chilled, and frozen seafood products and services, specializing in the value-added processing of seafood, primarily ready meals for the retail and foodservice sectors.",https://icelandic.is,,,,,,,1,2,2,1,2,2,0.9574338968,7,12,"Atlantic Cod, Atlantic Herring, Atlantic Mackerel, Greenland Halibut, Haddock, Icelandic Capelin, Lumpfish, Redfish, Saithe, Salmo Salar, Scampi, Silver Smelt","China, Greenland (Denmark), Iceland, Ireland, Japan, Norway, Spain"
ICHIMASA KAMABOKO CO LTD,ID_107,Japan,Processing,No,No,No,Yes,No,No,No,"Ichimasa Kamaboko manufactures and sells primarily fish-paste products, in addition to mushroom-based items.",http://www.ichimasa.co.jp,227.840727966,46.725044103,3.587602384,6.81865483,139.344624344,2.449050217,1,2,2,1,1,1,0.9293204122,2,7,"Blue Shark, Brushtooth Lizardfish, Cutlassfish, Gadus Chalcogrammus, Golden Threadfin Bream, Nemipterus Virgatus, White Croaker","Indonesia, Usa"
IMURAYA GROUP CORP LIMITED,ID_108,Japan,Processing,No,No,No,Yes,Yes,No,No,"Imuraya Group Corporation Limited is a Japanese food manufacturer and marketer offering a diverse range of products including confectionery, processed foods, ice cream, and traditional Japanese items under brands like Imuraya, Yawamochi, and Ni-Azuki. The company is also involved in food service, property management, and real-estate leasing, with operations in Japan, China, the US, and Malaysia.",https://www.imuraya-group.com,318.581968184,145.858496175,5.261073699,9.741474821,242.206855413,0.7784675232,1,1,1,1,1,1,0.7103820568,4,6,"Kelp, Sardines, Scallops, Short-Necked Clam, Skipjack, Skipjack Tuna","China, Japan, Malaysia, Us"
INDUSTRIAL PESQUERA SANTA PRISCILA,ID_109,Ecuador,Aquaculture,No,No,Yes,Yes,No,No,No,Industrial Pesquera Santa Priscila is a fishing enterprise specializing in high-quality fish products sourced from ecologically rich waters.,https://santa-priscila.com/,,,,,,,1,2,2,0,2,2,0.3572747402,5,5,"Cichlidae, Oreochromis Niloticus, Shrimp, Tilapia","China, Usa, Europe (Including Spain, France, Italy), And Other Parts Of Asia (Including Vietnam And Japan), China, Usa, Europe, And Other Parts Of Asia, Ecuador, Ecuador (Provinces Of Guayas, Chanduy, And Santa Elena), Peru"
INEPACA,ID_286,Ecuador,Processing,No,No,No,Yes,No,No,No,Industria Ecuatoriana Productora de Alimentos (Inepaca) is an Ecuador-based company that processes tuna and sardines.,no website,,,,,,,2,2,3,2,2,3,0.5289253255,2,4,"Clupeidae, Thunnus Albacares, Thunnus Obesus","Eastern Pacific Ocean, Manta, Ecuador"
ITOCHU,ID_111,Japan,Wholesale/Distribution,Yes,No,Yes,Yes,Yes,No,No,"Itochu is a diversified Japanese trading company involved in the global import and export of a wide range of products including textiles, machinery, metals, minerals, energy, chemicals, and food, alongside operations in information technology and finance.",https://www.itochu.co.jp,97054.62876494,46192.138394357,5.072228994,15.386725834,90611.424486465,3.19741258,2,2,3,1,2,2,0.3494955492,4,9,"Amberjack, Puffer Fish, Red Sea Bream, Salmon, Striped Horse Mackerel, Thunnus Albacares, Trout, Tuna, Yellowtail","Fao Area 71 (Pacific, Western Central), Global, Indonesia, Japan"
J & J DENHOLM LTD,ID_112,United Kingdom,Processing,No,No,No,Yes,Yes,No,No,"This company is a diversified operation encompassing Shipping, Logistics, Seafoods, and Industrial Services. Its seafood segment is focused on processing pelagic fish such as mackerel, herring, and herring roe.",http://denholm-industrial.com,,,,,,-1.547012368,2,2,3,1,2,3,0.7748760546,3,10,"Clupea Harengus, Fish, Herring, Mackerel, Micromesistius Poutassou, Pelagic Fish, Scomber Scombrus","North East Atlantic (Deep Waters To The West And North Of Scotland), North East Atlantic (North Sea East Of The Shetland Isles And Waters West Of Scotland), North East Atlantic (Uk Waters North-East Of Shetland, And West Of Orkney And Lewis)"
JAPFA COMFEED,ID_113,Indonesia,Feed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The company is vertically integrated in the aquaculture industry, involved in the production of feed, breeding, harvesting, processing, exporting, and selling various aquatic species including shrimp, tilapia, eel, catfish, and prawn.",japfacomfeed.co.id,3521.696264715,612.826072649,9.132319934,20.930117253,2053.014824973,1.473045661,1,1,2,0,2,1,0.3674147974,5,6,"Catfish, Cichlidae, Oreochromis Niloticus, Prawn, Shrimp, Tilapia","Banyuwangi And Situbondo (East Java), Indonesia, Lake Toba, Indonesia, Medan And Cirebon, Indonesia, Pidie Jaya (Aceh), Bangka Belitung Canti (Lampung), Anyer (Banten), Indramayu (West Java), Rembang (Central Java), Banyuwangi (East Java), Singaraja (Bali), Negara (Bali), Sumbawa (Ntb), Barru (South Sulawesi), Indonesia, United States, Canada, Japan, Taiwan, Malaysia, Thailand, Philippines, Brunei, Singapore, Italy"
JINGHAI GROUP CO LTD,ID_114,China,Fishing,No,Yes,Yes,Yes,Yes,No,No,"Jinghai Group Co., Ltd is a state-owned enterprise in Rongcheng City, China, involved in diversified activities including fishing, fishing port trade, deep seafood processing, ship repair services, mariculture, and coastal tourism.",http://en.jinghaijituan.com,,,,,,,1,1,1,1,1,1,0.3610265285,7,25,"Bigeye Tuna, Bonito, Cod, Hairtail, Katsuwonus, Mussel, Mytilidae, Ostreidae, Oysters, Pectinidae, Pomfret, Rice Fish, Sardines, Scallops, Scombridae, Sea Cucumber, Shell Fish, Shellfish, Shrimp, Squid, Yellowfin Tuna","Indian Ocean, North Pacific Ocean, Pacific Ocean, Pacific Ocean, Indian Ocean, Rongcheng, China, Southeast Pacific Ocean, Southwest Atlantic Ocean"
JINZAI FOOD,ID_115,China,Processing,No,No,Yes,Yes,Yes,Yes,No,"Jinzai Food Group Co., Ltd. is a modern food enterprise involved in the research, production, and sale of aquatic products, poultry, and vegetarian meat. Its operations are vertically integrated across fishing, processing, retail, and wholesale/distribution.",https://www.jinzaifood.com.cn,335.006272464,339.501124788,12.654238529,21.354757657,754.831916329,-1.98863639,1,1,2,0,1,1,0.088,3,2,"Anchovy, Engraulidae","China, Kenya, Southeast Asia"
KABUSHIKI USUFUKU HONTEN,ID_116,Japan,Fishing,No,Yes,No,No,Yes,Yes,No,"Kabushiki Usufuku Honten is a long-established fishing company (founded 1882) that historically managed various vessel types, including short-sea vessels, deep-sea bonito boats, and northern barges, with a current focus on tuna fishing.",https://usufuku.jp,,,,,,,1,2,3,2,3,3,0.7511308364,5,3,"Atlantic Bluefin Tuna, Pelagic Tuna, Thunnus Thynnus","East Atlantic Ocean, Japan (Nationwide Distribution And At Matsushima Sakana Ichiba), North Atlantic Ocean (Specifically Off The Coast Of Ireland), South Africa (Operating Base), Spain (Canary Islands Operating Base)"
KAIHAN,ID_117,Japan,Foodservice,No,No,No,Yes,Yes,No,Yes,"Kaihan operates in renewable energy and food sectors, with its food segment focusing on running a chain of pubs and restaurants specializing in seafood and Japanese cuisine.",,16.138143962,180.653428896,-24.052438808,-120.640545295,370.310443445,-2.402267502,1,1,1,1,1,1,,1,0,,Japan
KAKIYASU HONTEN,ID_118,Japan,Retail,No,No,No,Yes,No,Yes,Yes,"Kakiyasu Honten is a Japanese food company specializing in meat, seafood, vegetables, and prepared foods such as sushi and bento boxes.",https://www.kakiyasuhonten.co.jp,244.783694448,115.676915858,5.940300119,8.077544426,119.695104135,-3.896929825,1,2,2,1,1,1,0.1524991803,1,1,Oysters,Japan
KALDVIK AS,ID_103,Norway,Aquaculture,No,No,Yes,No,Yes,No,No,"Ice Fish Farm AS is a Norwegian company specializing in the aquaculture, breeding, farming, and processing of salmon.",,116.551811256,49.245257798,-16.850697895,-10.80279471,502.477252985,-23.536433229,2,2,2,0,1,2,0.5167642112,1,4,"Salmo Salar, Salmon, Smolt, Trout","East Fjords, Iceland"
